event_time,bookmaker,Fighter,Opponent,odds_f1,odds_f2
2024-11-16 20:00:00,Bovada,Bassil Hafez,Oban Elliott,200,-240
2024-11-16 20:00:00,Bovada,Damon Jackson,Jim Miller,-165,140
2024-11-16 20:00:00,Bovada,Karine Silva,Viviane Araujo,-270,220
2024-11-16 23:15:00,Bovada,Eduarda Moura,Veronica Hardy,125,-145
2024-11-17 00:15:00,Bovada,Mickey Gall,Ramiz Brahimaj,-130,110
2024-11-17 00:45:00,Bovada,Jhonata Diniz,Marcin Tybura,110,-130
2024-11-17 02:15:00,Bovada,Chris Weidman,Eryk Anders,120,-140
2024-11-17 02:45:00,Bovada,Jonathan Martinez,Marcus McGhee,115,-135
2024-11-17 03:00:00,Bovada,Bo Nickal,Paul Craig,-1500,775
2024-11-17 03:15:00,Bovada,James Llontop,Mauricio Ruffy,550,-850
2024-11-17 04:00:00,Bovada,Jon Jones,Stipe Miocic,-700,475
2024-11-17 04:45:00,Bovada,Charles Oliveira,Michael Chandler,-270,220
2024-12-08 03:00:00,Bovada,Alexander Volkov,Ciryl Gane,215,-260
